Symbol,Dataset
SYY,http://www.sysco.com
CHWY,http://www.chewy.com
CDNS,http://www.cadence.com
CTAS,http://www.cintas.com
ING,http://www.ing.com
CSGP,http://www.costargroup.com
BK,http://www.bnymellon.com
SRE,http://www.sempra.com
BF.B,http://www.brown-forman.com
INFO,http://www.ihsmarkit.com
GIS,http://www.generalmills.com
A,http://www.agilent.com
FCX,http://fcx.com
MSCI,http://www.msci.com
LYG,http://www.lloydsbankinggroup.com
BCS,http://www.home.barclays
EBAY,http://www.ebayinc.com
MCHP,http://www.microchip.com
F,http://www.ford.com
TRV,http://www.travelers.com
DXCM,http://www.dexcom.com
XLNX,http://www.xilinx.com
LU,http://www.lufaxholding.com
APTV,http://www.aptiv.com
CNC,http://www.centene.com
RNG,http://www.ringcentral.com
WBA,http://www.walgreensbootsalliance.com
PH,http://www.parker.com
GDS,http://www.gds-services.com
TT,http://www.tranetechnologies.com
PANW,http://www.paloaltonetworks.com
XEL,http://www.xcelenergy.com
MFC,http://www.manulife.com
ALXN,http://www.alexion.com
PAYX,http://www.paychex.com
OKTA,http://www.okta.com
SGEN,http://www.seagen.com
VRSK,http://www.verisk.com
KKR,http://www.kkr.com
PPG,http://www.ppg.com
IQV,http://www.iqvia.com
STM,http://www.st.com
TDG,http://www.transdigm.com
VFC,http://www.vfc.com
BBVA,http://www.bbva.com
TROW,http://www.troweprice.com
JCI,http://www.johnsoncontrols.com
LBRDK,http://www.libertybroadband.com
CARR,http://www.corporate.carrier.com
YUM,http://www.yum.com
ORLY,http://www.oreillyauto.com
CMI,http://www.cummins.com
CRH,http://www.crh.com
BSBR,http://www.santander.com.br
ALL,http://www.allstate.com
ALC,http://www.alcon.com
AIG,http://www.aig.com
MFG,http://www.mizuho-fg.co.jp
ZG,http://www.zillowgroup.com
ORAN,http://www.orange.com
HSY,http://www.thehersheycompany.com
CS,http://www.credit-suisse.com
XPEV,http://www.xiaopeng.com
HPQ,http://www8.hp.com
MRVL,http://www.marvell.com
ANSS,http://www.ansys.com
TME,http://www.tencentmusic.com
KMI,http://www.kindermorgan.com
DDOG,http://www.datadoghq.com
RPRX,http://www.royaltypharma.com
ZBH,http://www.zimmerbiomet.com
AFL,http://www.aflac.com
PSX,http://www.phillips66.com
RSG,http://www.republicservices.com
PRU,http://www.prudential.com
SBAC,http://www.sbasite.com
SLB,http://www.slb.com
RMD,http://www.resmed.com
CHT,http://www.cht.com.tw
LYB,http://www.lyondellbasell.com
CPRT,http://www.copart.com
HLT,http://www.hilton.com
BLL,http://www.ball.com
WIT,http://www.wipro.com
PCAR,http://www.paccar.com
EDU,http://www.neworiental.org
TDOC,http://www.teladochealth.com
EOG,http://www.eogresources.com
ROK,http://www.rockwellautomation.com
SPLK,http://www.splunk.com
MSI,http://www.motorolasolutions.com
ES,http://www.eversource.com
PEG,http://www.pseg.com
HTHT,http://www.huazhu.com
BILI,http://www.bilibili.com
OTIS,http://www.otis.com
FAST,http://www.fastenal.com
CTVA,http://www.corteva.com
WEC,http://www.wecenergygroup.com
SWK,http://www.stanleyblackanddecker.com
CNQ,http://www.cnrl.com
MCK,http://www.mckesson.com
SPG,http://www.simon.com
GLW,http://www.corning.com
ADM,http://www.adm.com
LUV,http://www.southwest.com
LBRDA,http://www.libertybroadband.com
AME,http://www.ametek.com
PAYC,http://www.paycom.com
EC,http://www.ecopetrol.com.co
NWG,http://www.natwestgroup.com
DFS,http://www.discover.com
ZS,http://www.zscaler.com
AZO,http://www.autozone.com
SIRI,http://www.siriusxm.com
